20.9;348;20.9;348;10:15:49:910
20.6;475;20.8;334;10:15:51:952
20.6;440;20.9;351;10:15:53:994
20.6;441;21.0;352;10:15:56:38
20.9;368;20.6;456;10:16:1:112
20.6;456;21.6;360;10:16:4:165
20.9;459;21.0;334;10:16:6:206
22.1;464;21.2;380;10:16:9:259
20.6;458;22.6;371;10:16:13:323
20.6;399;21.7;386;10:16:18:397
20.9;455;20.9;455;10:16:20:441
21.6;369;20.6;455;10:16:23:494
21.1;363;20.8;494;10:18:58:796
20.8;488;21.0;353;10:19:3:876
20.8;478;20.8;478;10:19:6:929
21.5;375;20.8;419;10:19:9:983
21.3;354;20.8;428;10:19:13:37
21.6;356;20.9;467;10:19:16:91
21.4;355;20.9;463;10:19:19:144
21.4;354;20.6;447;10:19:22:197
21.7;353;20.9;455;10:19:25:251
21.4;354;20.9;459;10:19:28:304
21.4;359;20.9;456;10:19:31:358
21.7;350;20.9;446;10:19:34:410
21.5;351;21.1;445;10:19:39:485
21.7;351;21.0;452;10:19:43:548
21.7;354;21.7;354;10:19:45:590
20.9;341;20.9;341;10:19:50:665
20.6;337;20.5;438;10:19:57:760
20.5;438;20.9;361;10:19:59:802
20.5;381;20.5;381;10:20:3:868
21.3;383;21.3;383;10:20:5:910
20.6;335;20.6;458;10:20:13:6
21.3;358;20.7;364;10:20:19:91
20.6;446;20.6;446;10:20:23:154
21.3;376;21.3;376;10:20:25:196
20.6;485;21.3;384;10:20:29:259
21.3;384;20.7;467;10:20:34:333
21.1;365;20.6;454;10:20:37:387
21.0;360;20.6;463;10:20:39:429
20.6;463;21.3;391;10:20:41:472
20.6;449;20.8;375;10:20:43:515
20.8;375;20.8;485;10:20:48:590
21.2;357;20.7;357;10:20:53:664
20.6;460;20.7;353;10:20:55:706
20.6;436;20.8;348;10:20:57:747
20.7;401;21.1;323;10:20:59:790
21.1;323;20.7;471;10:21:2:844
20.9;354;20.9;354;10:21:4:887
20.8;366;20.7;477;10:21:10:972
20.8;349;21.0;357;10:21:16:46
20.7;444;20.9;377;10:21:18:88
20.6;496;20.9;339;10:21:21:178
20.6;409;20.6;409;10:21:23:220
20.6;409;21.4;379;10:21:25:286
20.6;420;20.8;374;10:21:27:328
20.8;361;20.7;447;11:55:26:410
